-Info- Address to monitor during execution is: 0x0060103c
[3463] debugger started
[3463] PC = 0x4edfc2d0.  instr = 0xe8e78948
[3463] PC = 0x4edfc2d3.  instr = 0x003768e8
[3463] PC = 0x4edffa40.  instr = 0xe5894855
[3463] PC = 0x4edffa41.  instr = 0x41e58948
[3463] PC = 0x4edffa44.  instr = 0x56415741
[3463] PC = 0x4edffa46.  instr = 0x55415641
[3463] PC = 0x4edffa48.  instr = 0x54415541
[3463] PC = 0x4edffa4a.  instr = 0x48535441
[3463] PC = 0x4edffa4c.  instr = 0xfb894853
[3463] PC = 0x4edffa4d.  instr = 0x48fb8948
[3463] PC = 0x4edffa50.  instr = 0x68ec8348
[3463] PC = 0x4edffa54.  instr = 0xc148310f
[3463] PC = 0x4edffa56.  instr = 0x20e2c148
[3463] PC = 0x4edffa5a.  instr = 0x0948c089
[3463] PC = 0x4edffa5c.  instr = 0x48c20948
[3463] PC = 0x4edffa5f.  instr = 0x0a058b48
[3463] PC = 0x4edffa66.  instr = 0x2b158948
[3463] PC = 0x4edffa6d.  instr = 0xfc158d48
[3463] PC = 0x4edffa74.  instr = 0x4cd58949
[3463] PC = 0x4edffa77.  instr = 0x822d2b4c
[3463] PC = 0x4edffa7e.  instr = 0x48c08548
[3463] PC = 0x4edffa81.  instr = 0x80158948
[3463] PC = 0x4edffa88.  instr = 0x692d894c
[3463] PC = 0x4edffa8f.  instr = 0x008d840f
[3463] PC = 0x4edffa95.  instr = 0xc40d8d48
[3463] PC = 0x4edffa9c.  instr = 0x03d8bc49
[3463] PC = 0x4edffaa6.  instr = 0xfb78ba49
[3463] PC = 0x4edffab0.  instr = 0xffffffbe
[3463] PC = 0x4edffab5.  instr = 0xfdffb941
[3463] PC = 0x4edffabb.  instr = 0xfeffbb41
[3463] PC = 0x4edffac1.  instr = 0x49cc0149
[3463] PC = 0x4edffac4.  instr = 0x41ca0149
[3463] PC = 0x4edffac7.  instr = 0x0031b841
[3463] PC = 0x4edffacd.  instr = 0x000021bf
[3463] PC = 0x4edffad2.  instr = 0x1f0f1beb
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
